action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
water.walk,0,0.001,166332,4.184,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.114,0.000,0.025,0.000,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,230776,5.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.681,0.521,0.000,0.035,0.000,0.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,209196,4.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.086,0.000,0.020,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,166788,4.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.108,0.000,0.026,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.002,166940,3.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.087,0.000,0.021,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,167092,4.226,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.102,0.000,0.024,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,231536,4.699,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.698,0.534,0.000,0.026,0.000,0.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,209956,5.539,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.085,0.000,0.018,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,167548,4.010,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.257,0.110,0.000,0.028,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,167700,3.465,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.099,0.000,0.021,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,305246,5.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.855,0.652,0.000,0.027,0.000,0.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,491652,7.886,0.000,0.000,0.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.915,0.571,0.000,0.082,0.000,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,168612,3.835,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.255,0.111,0.000,0.024,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,233056,4.818,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.497,0.000,0.027,0.000,0.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,211476,5.365,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.099,0.000,0.023,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,169068,3.184,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.094,0.000,0.021,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,169220,3.268,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.090,0.000,0.021,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,169424,3.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.209,0.092,0.000,0.020,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,233816,4.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.663,0.493,0.000,0.033,0.000,0.459,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,212236,5.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.225,0.100,0.000,0.023,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,169828,4.124,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.101,0.000,0.021,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,169980,4.162,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.098,0.000,0.024,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
